Gender,Age,Song-Artist,Mood,Time of the day,Location,Activity
female,34,Sokratis Malamas - To Zitianoksylo,happy,night,other,amusing
female,34,Sokratis Malamas - Eixa Ton Kipo tis Edem,happy,night,other,amusing
female,34,Sokratis Malamas - I Kalyva,happy,night,other,amusing
female,34,Sokratis Malamas - Skepsi Mou Ksimeromeni,happy,night,other,amusing
female,34,Sokratis Malamas - Kartes,happy,night,other,amusing
female,34,Sokratis Malamas - I Lathos Moirasia,happy,night,other,amusing
female,34,Fotis Siotas - San paidi,happy,night,other,amusing
female,34,Fotis Siotas - Aeriko,happy,night,other,amusing
female,34,Fotis Siotas - Poios Tha Mai Thymatai,happy,night,other,amusing
female,34,Ioulia Karapataki - Ta Logia Einai Grammata,happy,night,other,amusing
female,34,Nikos Portokaloglou - Mi Ta Paratas,calm,morning,home,working
female,34,Alkinoos Ioannidis - Tha Mai Konta Sou,calm,morning,home,working
female,34,Miltos Pasxalidis - To Kapileio,calm,morning,home,working
female,34,Dimitris Zervoudakis - Ta Aneipota,calm,morning,home,working
female,34,Babis Stokas - Den Tha Dakryso Pia Gia Sena,calm,morning,home,working
female,34,Kostas Tournas - Stigmes,calm,morning,home,working
female,34,Melina Kana - Tyfles Elpides,calm,morning,home,working
female,34,Kostas Triantafyllidis - Oneiro Apatilo,calm,afternoon,home,working
female,34,Christos Thivaios - O Amlet Tis Selinis,calm,afternoon,home,working
female,34,Penny Baltatzi - Exotiko Harmani,calm,afternoon,home,working
female,34,Imam Baildi - Ta Ziliarika Sou Matia,calm,afternoon,home,working
female,34,Dimitris Panagopoulos - Avra,calm,afternoon,home,working
female,34,Eleonora Zouganeli - Kopse Kai Moirase,calm,afternoon,home,working
female,34,Thodoris Voutsikakis - Omorfi Zoi,calm,afternoon,home,working
female,34,Sofia Vossou - To Filaraki,calm,afternoon,home,working
female,34,Lavrentis Maxairitsas - Kai Ti Zitao,calm,afternoon,home,working
female,34,Sokratis Malamas - Asfalos Kai den Prepei,calm,afternoon,home,working
female,34,Eleni Vitali - Perasi Apo Do I Eleni,calm,afternoon,home,working
female,34,Dimitris Mitropanos - S' Anazito Sti Saloniki,calm,afternoon,home,working
female,34,Sakis Boulas - To Flasaki,calm,afternoon,home,working
female,34,Rita Antonopoulou - Thessaloniki,calm,afternoon,home,working
female,34,Mpofiliou Natassa - To Metrima,calm,afternoon,home,working
female,34,Eleftheria Arvanitaki - Kardia Mou Ego,calm,afternoon,home,working
female,34,Kazoulis Vasilis - An Isoun Aggelos,calm,afternoon,home,working
female,34,Monika - Ksimeronei,calm,afternoon,home,working
female,34,Arleta - I Serenata,calm,afternoon,home,working
female,34,Marina Satti - Tha Spaso Koupes,calm,afternoon,home,working
female,34,Vasilis Papakonstantinou - Mikres Notheies,calm,afternoon,home,working
female,34,Babis Stokas - Enas Kompos I Xara Mou,calm,afternoon,home,working
female,34,Kostas Makedonas - Katse Kala,calm,afternoon,home,working
female,34,Trifono - Na M' Agapas,calm,afternoon,home,working
female,34,Giannis Kotsiras - Vrexei Sti Ftoxogeitonia,calm,afternoon,home,working
female,34,Eleonora Zouganeli - Deytera Kleidia,calm,afternoon,home,working
female,34,Alkinoos Ioannidis - Stin Agora Tou Al Halili,calm,afternoon,home,working
female,34,Haris Alexiou - Ena Fili,calm,afternoon,home,working
female,34,Giannis Miliokas - Pou Na Vro Mia Na Sou Moiazei,calm,afternoon,home,working
female,34,Miltos Pasxalidis - Paramythi Me Lypimeno Telos,calm,afternoon,home,working
female,34,Penny Baltatzi - To Koritsi,calm,afternoon,home,working
female,34,Sokratis Malamas - Prigripesa,calm,afternoon,home,working
female,34,Giorgos Ntalaras - Karavia Sti Steria,calm,afternoon,home,working
female,34,Giannis Xaroulis - Sou Milo Kai Kokkinizeis,calm,afternoon,home,working
female,34,Vasilis Skoulas - Touto To Mina,calm,afternoon,home,working
female,34,Petros Gaitanos - Sto Kastro To Palio,calm,afternoon,home,working
female,34,Vasilis Papakonstantinou - Na Grafeis Na Tilefoneis,calm,afternoon,home,working
female,34,Buddy Guy - Guilty As Charged,relaxed,night,home,amusing
female,34,Danny Bryant's Red Eye Band - Always With Me,relaxed,night,home,amusing
female,34,John Lee Hooker Jr. - Hard Times,relaxed,night,home,amusing
female,34,Michael Dotson - Blues So Bad,relaxed,night,home,amusing
female,34,Reloaded - I'm Freakin' Reloaded,relaxed,night,home,amusing
female,34,Albert King - Drivin' Wheel,relaxed,night,home,amusing
female,34,Truth - Angel,relaxed,night,home,amusing
female,34,Thorbjorn Risager - Stand Beside Me,relaxed,night,home,amusing
female,34,Danielle M & The Glory Junkies - All On Fire,relaxed,night,home,amusing
female,34,Kris Pohlmann Band - The Blues Inside,relaxed,night,home,amusing
female,34,Alligator Jackson - Midnight's Creeping,relaxed,night,home,amusing
female,34,Inga Rumpf & Friends - Angie (Live),relaxed,night,home,amusing
female,34,Tom Killner - Cocaine Blues (Live),relaxed,night,home,amusing
female,34,Coco Montoya - Jungle Strut,relaxed,night,home,amusing
female,34,"Joanne Shaw Taylor - Tried, Tested & True",relaxed,night,home,amusing
female,34,"Dutch Mason - Going, Going, Gone",relaxed,night,home,amusing
female,34,The Cruel Sea - This Is Just What It Is,relaxed,night,home,amusing
female,34,Van Morrison - Sometimes I Feel Like A Motherless Child,relaxed,night,home,amusing
female,34,Tom Jones - All Blues Hail Mary,relaxed,night,home,amusing
female,34,The Rusties Blues Band - Never Ending Friday,relaxed,night,home,amusing
female,34,Mick Kolassa - Baby's Got Another Lover,relaxed,night,home,amusing
female,34,B.b. & The Blues Shacks - Good Night's Sleep,relaxed,night,home,amusing
female,34,Karen Carroll - Shakey Ground,relaxed,night,home,amusing
female,34,Jimmy Dawkins - Christmas Time Blues,relaxed,night,home,amusing
female,34,Bryce Janey - Brand New Day,relaxed,night,home,amusing
female,34,Bernie Marsden Feat. Jim Copley - Latino Pressuro Bambino,relaxed,night,home,amusing
female,34,Van Morrison - Gloria (live),relaxed,night,home,amusing
female,34,Sonny Moorman Group - Black Magic Woman,relaxed,night,home,amusing
female,34,Kal David - Heart Of Stone,relaxed,night,home,amusing
female,34,Robert Cray - Smokin' Gun (Live),relaxed,night,home,amusing
female,34,Seanor & Koss - Babylon,relaxed,night,home,amusing
female,34,Stan Webb's Chicken Shack - The Thrill Is Gone,relaxed,night,home,amusing
female,34,Brother 2 Brother - Don't Be Shy,relaxed,night,home,amusing
female,34,Gary Moore - Did You Ever Feel Lonely?,relaxed,night,home,amusing
female,34,True Strays - Sabotage State of Mind,relaxed,night,home,amusing
female,34,THE RONETTES - BE MY BABY,calm,morning,work,working
female,34,HUGH LAURIE - Feat. - GABY MOR - KISS OF FIRE,calm,morning,work,working
female,34,BROOK BENTON & DINAH WASHINGTO - BABY,calm,morning,work,working
female,34,AMY WINEHOUSE - BACK TO BLACK,calm,morning,work,working
female,34,BALTHAZAR - WRONG VIBRATION,calm,morning,work,working
female,34,FLUME - LONDON GRAMMAR - ROBIN - LET YOU KNOW,calm,morning,work,working
female,34,FLORENCE & THE MACHINE - HUNGER,calm,morning,work,working
female,34,NOIR DESIR - LE VENT NOUS PORTERA (LIVE),calm,morning,work,working
female,34,LAURYN HILL - CAN'T TAKE MY EYES OFF OF YOU,calm,morning,work,working
female,34,KASABIAN - GOODBYE KISS,calm,morning,work,working
female,34,TINDERSTICKS - THIS FIRE OF AUTUMN,calm,morning,work,working
female,34,DEPECHE MODE - PERSONAL JESUS,calm,morning,work,working
female,34,THE ROLLING STONES - BEAST OF BURDEN,calm,morning,work,working
female,34,FUNKY BOOGIE BROTHERS - I BELIEVE,calm,morning,work,working